,150,450a,550a,009a,all_categories,kategorie_tematyczne,subject_category,item,ukLabel,deLabel,frLabel,enLabel,plLabel,itemId,lcsh,yso,550g,550h,009,455,555a,555g,555h,155
Poeci rumuńscy,Poeci rumuńscy,"['Poets, Romanian', 'Romanian poets']",,['9810699223805606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze rumuńscy'],,,,,,,
Poeci serbscy,Poeci serbscy,"['Poets, Serbian', 'Serbian poets']",,['9810674450905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze serbscy'],,,,,,,
Poeci słowaccy,Poeci słowaccy,"['Poets, Slovak', 'Slovak poets']",,['9810674451205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze słowaccy'],,,,,,,
Poeci perscy,Poeci perscy,"['Persian poets', 'Poets, Persian']",,['9810699228405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze perscy'],,,,,,,
Pisarze perscy,Pisarze perscy,"['Pisarze irańscy', 'Authors, Iranian', 'Authors, Persian']",,['9810699229605606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Poeci perscy'],,,,,,
Poeci szwedzcy,Poeci szwedzcy,"['Poets, Swedish', 'Swedish poets']",,['9810699231105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze szwedzcy'],,,,,,,
Poeci ukraińscy,Poeci ukraińscy,"['Poets, Ukrainian', 'Ukrainian poets']",,['9810699231405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze ukraińscy'],,,,,,,
Poeci węgierscy,Poeci węgierscy,"['Hungarian poets', 'Poets, Hungarian']",,['9810646631905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze węgierscy'],,,,,,,
Poeci włoscy,Poeci włoscy,"['Italian poets', 'Poets, Italian']",,['9810646632505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze włoscy'],,,,,,,
Poeci żydowscy,Poeci żydowscy,"['Poets, Jewish', 'Jewish poets']",,['9810646634505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze żydowscy'],,,,,,,
Dramaturdzy,Dramaturdzy,"['Dramatopisarze', 'Dramatists']",,['9810576830505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze'],,,,,,,
Dramaturdzy amerykańscy,Dramaturdzy amerykańscy,"['Dramatists, American']",,['9810576832005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze amerykańscy'],,,,,,,
Dramaturdzy angielscy,Dramaturdzy angielscy,"['Dramatists, English']",,['9810576832905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze angielscy'],,,,,,,
Dramaturdzy czescy,Dramaturdzy czescy,"['Dramatists, Czech']",,['9810646485705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze czescy'],,,,,,,
Dramaturdzy francuscy,Dramaturdzy francuscy,"['Dramatists, French']",,['9810646486505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze francuscy'],,,,,,,
Dramaturdzy greccy,Dramaturdzy greccy,"['Dramatists, Greek']",,['9810646487105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze greccy'],,,,,,,
Dramaturdzy irlandzcy,Dramaturdzy irlandzcy,"['Dramatists, Irish']",,['9810650605505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze irlandzcy'],,,,,,,
Dramaturdzy niemieccy,Dramaturdzy niemieccy,"['Dramatists, German']",,['9810650606705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze niemieccy'],,,,,,,
Dramaturdzy polscy,Dramaturdzy polscy,"['Dramatists, Polish']",,['9810662361005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze polscy'],,,,,,,
Dramaturdzy żydowscy,Dramaturdzy żydowscy,['Jewish dramatists'],,['9810565964605606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze żydowscy'],,,,,,,
Stenografowie,Stenografowie,"['Stenografia', 'zawód']",,['9810570080905606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Pracownicy biurowi', 'Stenografia']",,,,,,,
Medal Jerzego Sulimy-Kamińskiego,Medal Jerzego Sulimy-Kamińskiego,,,['9810568294005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,"['Nagrody literackie', 'Polska', '21 w.']",,,,,,,
Pisarze abchascy,Pisarze abchascy,"['Authors, Abkhazian']",,['9810596405905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Poeci austriaccy,Poeci austriaccy,"['Austrian poets', 'Poets, Austrian']",,['9810530957705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze austriaccy'],,,,,,,
Dramaturdzy belgijscy,Dramaturdzy belgijscy,"['Dramatists, Belgian']",,['9810666911505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze belgijscy'],,,,,,,
Pisarze chorwaccy,Pisarze chorwaccy,"['Authors, Croatian']",,['9810606442905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Dramaturdzy chorwaccy', 'Poeci chorwaccy', 'Scenarzyści filmowi chorwaccy']",,,,,,
Dramaturdzy chorwaccy,Dramaturdzy chorwaccy,"['Dramatists, Croatian']",,['9810606443205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze chorwaccy'],,,,,,,
Poeci chorwaccy,Poeci chorwaccy,"['Croatian poets', 'Poets, Croatian']",,['9810606443305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze chorwaccy'],,,,,,,
Poeci bułgarscy,Poeci bułgarscy,"['Bulgarian poets', 'Poets, Bulgarian']",,['9810606443405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze bułgarscy'],,,,,,,
Heroikomika,Heroikomika,,,['9810691753405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Komizm'],,,,,,,
Pisarze ekwadorscy,Pisarze ekwadorscy,"['Authors, Ecuadorian']",,['9810655671705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Ekfraza,Ekfraza,,"['Korespondencja sztuk', 'Poetyka']",['9810658830105606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q1323450,Екфраза,Ekphrasis,ekphrasis,ekphrasis,Ekfraza,Q1323450,sh85041446,28509,,,,,,,,
Poeci holenderscy,Poeci holenderscy,"['Dutch poets', 'Poets, Dutch']",,['9810690812105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze holenderscy'],,,,,,,
Pisarze hondurascy,Pisarze hondurascy,"['Authors, Honduran']",,['9810690893705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Poeci irlandzcy,Poeci irlandzcy,"['Irish poets', 'Poets, Irish']",,['9810690894905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze irlandzcy'],,,,,,,
Poeci kanadyjscy,Poeci kanadyjscy,"['Canadian poets', 'Poets, Canadian']",,['9810537977605606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze kanadyjscy'],,,,,,,
Dramaturdzy kaszubscy,Dramaturdzy kaszubscy,"['Dramatists, Kashubian']",,['9810551404705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze kaszubscy'],,,,,,,
Poeci kaszubscy,Poeci kaszubscy,"['Kashubian poets', 'Poets, Kashubian']",,['9810551404905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze kaszubscy'],,,,,,,
Poeci katalońscy,Poeci katalońscy,"['Catalan poets', 'Poets, Catalan']",,['9810673946005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze katalońscy'],,,,,,,
Pisarze kazachscy,Pisarze kazachscy,"['Authors, Kazakh']",,['9810658828405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Poeci łacińscy,Poeci łacińscy,"['Poeci rzymscy', 'Latin poets', 'Poets, Latin']",,['9810560086505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze łacińscy'],,,,,,,
Dramaturdzy macedońscy,Dramaturdzy macedońscy,"['Dramatists, Macedonian']",,['9810690808705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze macedońscy'],,,,,,,
Pisarze macedońscy,Pisarze macedońscy,"['Authors, Macedonian ']",,['9810690894105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,"['Dramaturdzy macedońscy', 'Poeci macedońscy']",,,,,,
Dramaturdzy norwescy,Dramaturdzy norwescy,"['Dramatists, Norwegian']",,['9810530414505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze norwescy'],,,,,,,
Poeci norwescy,Poeci norwescy,"['Norwegian poets', 'Poets, Norwegian']",,['9810530415705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze norwescy'],,,,,,,
Poeci nowozelandzcy,Poeci nowozelandzcy,"['New Zealand poets', 'Poets, New Zealand']",,['9810641331105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze nowozelandzcy'],,,,,,,
Pisarze peruwiańscy,Pisarze peruwiańscy,"['Authors, Peruvian ']",,['9810661500305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Dramaturdzy rumuńscy,Dramaturdzy rumuńscy,"['Dramatists, Romanian ']",,['9810541380505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze rumuńscy'],,,,,,,
Pisarze słoweńscy,Pisarze słoweńscy,"['Authors, Slovenian']",,['9810650456005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Poeci słoweńscy'],,,,,,
Dramaturdzy ukraińscy,Dramaturdzy ukraińscy,"['Dramatists, Ukrainian']",,['9810614672405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze ukraińscy'],,,,,,,
Pisarze uzbeccy,Pisarze uzbeccy,"['Authors, Uzbek']",['Scenarzyści filmowi uzbeccy'],['9810676935105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Dramaturdzy włoscy,Dramaturdzy włoscy,"['Dramatists, Italian']",,['9810543527705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze włoscy'],,,,,,,
Poeci litewscy,Poeci litewscy,"['Lithuanian poets', 'Poets, Lithuanian']",,['9810607720805606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze litewscy'],,,,,,,
Dramaturdzy hiszpańscy,Dramaturdzy hiszpańscy,"['Dramatists, Spanish']",,['9810687866405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze hiszpańscy'],,,,,,,
Dramaturdzy rosyjscy,Dramaturdzy rosyjscy,"['Dramatists, Russian']",,['9810687745705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze rosyjscy'],,,,,,,
Dramaturdzy węgierscy,Dramaturdzy węgierscy,"['Dramatists, Hungarian']",,['9810667442105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze węgierscy'],,,,,,,
Poeci belgijscy,Poeci belgijscy,"['Belgian poets', 'Poets, Belgian']",,['9810701370205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze belgijscy'],,,,,,,
Dramaturdzy holenderscy,Dramaturdzy holenderscy,"['Dramatists, Dutch']",,['9810701370405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze holenderscy'],,,,,,,
Literaturoznawcy,Literaturoznawcy,"['Historycy literatury', 'Filolodzy (literaturoznawstwo)', 'Filolog (literaturoznawstwo)', 'Teoretycy literatury']",,['9810645830305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,"['Zawód', 'Literaturoznawstwo']",,,,,,,
Krasnoludki,Krasnoludki,"['Krasnale', 'Krasne ludki', 'Kraśnięta', 'Skrzaty', 'Ubożęta']",,['9810576799605606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q50395476,,,,,Krasnoludki,Q50395476,,,"['Stworzenia fantastyczne', 'Bóstwa domowe']",,,,,,,
Pisarze afrykańscy,Pisarze afrykańscy,"['Authors, African']",,['9810570673405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Przekłady staroruskie,Przekłady staroruskie,['Przekłady ruskie'],,['9810572664505606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Język rosyjski'],,,,,,,
Krytycy literaccy,Krytycy literaccy,"['Krytyka literacka', 'zawód']",,['9810651162705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,"['Zawód', 'Krytyka literacka', 'Życie literackie']",,,,,,,
Pisarze tamilscy,Pisarze tamilscy,,,['9810683127905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Poeci tamilscy'],,,,,,
Nagroda Literacka Gdynia,Nagroda Literacka Gdynia,"['Gdynia Literary Prize', 'GLP']",,['9810627458505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,http://www.wikidata.org/entity/Q5529403,,Literaturpreis Gdynia,Prix littéraire de Gdynia,Gdynia Literary Prize,Nagroda Literacka Gdynia,Q5529403,,,"['Nagrody literackie', 'Polska', '21 w.']",,,,,,,
Poeci albańscy,Poeci albańscy,"['Albanian poets', 'Poets, Albanian']",,['9810637125605606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze albańscy'],,,,,,,
Poeci jugosłowiańscy,Poeci jugosłowiańscy,"['Poets, Yugoslavian', 'Yugoslavian poets']",,['9810672434705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze jugosłowiańscy'],,,,,,,
Nagroda im. Andrzeja Krzyckiego,Nagroda im. Andrzeja Krzyckiego,,,['9810695620205606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,"['Nagrody literackie', 'Polska', '21 w.']",,,,,,,
Pisarze albańscy,Pisarze albańscy,"['Authors, Albanian']",,['9810567032505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Poeci albańscy'],,,,,,
Cynocefal (postać mitologiczna),Cynocefal (postać mitologiczna),"['Cynocephalus', 'Galeopithecus', 'Galeopterus', 'Psiogłowy']",,['9810635319905606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,"['Postacie mitologiczne', 'Stworzenia fantastyczne', 'Mitologia egipska', 'Mitologia grecka']",,,,,,,
Mitologia estońska,Mitologia estońska,"['Mythology, Finno-Ugrian']",,['9810658230905606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,['Mitologia Ugrofinów'],,,,,,,
Mitologia liwska,Mitologia liwska,"['Mitologia Liwów', 'Mythology, Livonian']",,['9810658231305606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,"['Mitologia Ugrofinów', 'Liwowie']",,,,,,,
Poeci cygańscy,Poeci cygańscy,"['Gypsy poets', 'Poets, Gypsy']",,['9810572501305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze cygańscy'],,,,,,,
Mitologia Winebagów,Mitologia Winebagów,['Winnebago mythology'],,['9810631515605606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,"['Mitologia Indian', 'Winebagowie']",,,,,,,
Ogólnopolska Nagroda Literacka im. Franciszka Karpińskiego,Ogólnopolska Nagroda Literacka im. Franciszka Karpińskiego,['Nagroda Literacka im. Franciszka Karpińskiego'],,['9810574340405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,"['Nagrody literackie', 'Polska', 'od 1989 r.']",,,,,,,
Pisarze esperanccy,Pisarze esperanccy,"['Authors, Esperanto']",,['9810658758105606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,['Poeci esperanccy'],,,,,,
Poeci esperanccy,Poeci esperanccy,"['Esperanto poets', 'Poets, Esperanto']",,['9810658758305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze esperanccy'],,,,,,,
Historia alternatywna,Historia alternatywna,"['Alternate history', 'Alternative history']","['Historia kontrfaktyczna', 'Historiografia', 'Rzeczywistość alternatywna', 'Steampunk']",['9810671420305606'],Historia Kultura i sztuka Literaturoznawstwo,"['Historia', 'Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q224989,альтернативна історія,Alternativweltgeschichte,uchronie,alternate history,historia alternatywna,Q224989,sh2005000827,16646,,,,,,,,
Pisarze latynoamerykańscy,Pisarze latynoamerykańscy,,,['9810605155905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze tatarscy,Pisarze tatarscy,,,['9810657759505606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze południowoafrykańscy,Pisarze południowoafrykańscy,,,['9810596332405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Minnesingerzy,Minnesingerzy,"['Minnesängerzy', 'Minezengerzy', 'Minnesang']","['Kultura dworska', 'Niemcy', '13-14 w.', 'Muzyka niemiecka', 'historia', '13-14 w.']",['9810620903905606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q11781549,,Minnesänger,minnesänger,Minnesänger,Minnesingerzy,Q11781549,,,,,,,,,,
Intermedialność,Intermedialność,['Intermediality'],,['9810577809805606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Teoria sztuki', 'Intersemiotyczność', 'Korespondencja sztuk']",,,,,,,
Poeci baszkirscy,Poeci baszkirscy,"['Bashkir poets', 'Poets, Bashkir']",,['9810672130705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Pisarze bangladescy,Pisarze bangladescy,"['Pisarze banglijscy', 'Authors, Bangladeshi']",,['9810611647705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Biblia pauperum,Biblia pauperum,['Biblia ubogich'],,['9810588965605606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q681856,,Armenbibel,Biblia pauperum,Biblia pauperum,Biblia pauperum,Q681856,,,,,,,,,,
Pisarze indiańscy,Pisarze indiańscy,['Indian authors'],,['9810699429005606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Poeci fińscy,Poeci fińscy,"['Finnish poets', 'Poets, Finnish']",,['9810565550405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze fińscy'],,,,,,,
Poeci europejscy,Poeci europejscy,"['European poets', 'Poets, European']",,['9810579351305606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze europejscy'],,,,,,,
Mitologia hawajska,Mitologia hawajska,['Hawaiian mythology'],,['9810683071405606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q3088838,,,Mythologie hawaïenne,Hawaiian mythology,Mitologia hawajska,Q3088838,,,['Mitologia Polinezji'],,,,,,,
Poeci macedońscy,Poeci macedońscy,"['Macedonian poets', 'Poets, Macedonian']",,['9810622484905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze macedońscy'],,,,,,,
Pisarze kirgiscy,Pisarze kirgiscy,"['Authors, Kyrgyz']",,['9810629730405606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Improwizacja literacka,Improwizacja literacka,"['Improwizacja', 'w literaturze']","['Pisarstwo', 'Slam poetycki']",['9810559556705606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,,,,,,,,
Aojdowie,Aojdowie,,,['9810539932905606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q794686,аеди,Aöde,aède,aoidos,Aojda,Q794686,,,,,,,,,,
Poeci łotewscy,Poeci łotewscy,"['Latvian poets', 'Poets, Latvian']",,['9810649509905606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Pisarze łotewscy'],,,,,,,
Franciszkanizm (literatura),Franciszkanizm (literatura),,,['9810701318605606'],Literaturoznawstwo,['Literaturoznawstwo'],Literaturoznawstwo,,,,,,,,,,['Prądy i kierunki literackie'],,,,,,,
Zwierzęta biblijne,Zwierzęta biblijne,['Zwierzęta - w Biblii'],,['9810597095705606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,['Zwierzęta'],,,,,,,
Skaldowie (literatura),Skaldowie (literatura),['Scalds and scaldic poetry'],['Kultura dworska'],['9810587182805606'],Historia Literaturoznawstwo,"['Historia', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,,,,,,,,
Przekłady dagurskie,Przekłady dagurskie,,,['9810626947305606'],Językoznawstwo Literaturoznawstwo,"['J', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,['Język dagurski'],,,,,,,
Mitologia tybetańska,Mitologia tybetańska,"['Mythology, Tibetan']",,['9810626776305606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,"['Mitologia', 'Azja']",,,,,,,
Kawiarnie literackie,Kawiarnie literackie,['Literary cafes'],,['9810643058705606'],Kultura i sztuka Literaturoznawstwo,"['Kultura i sztuka', 'Literaturoznawstwo']",Literaturoznawstwo,,,,,,,,,,"['Życie literackie', 'Kultura', 'Savoir-vivre']",,,,,,,
Pan i sługa,Pan i sługa,['Sługa i pan'],,['9810550408605606'],Literaturoznawstwo Kultura i sztuka,"['Literaturoznawstwo', 'Kultura i sztuka']",Literaturoznawstwo,,,,,,,,,,"['Sztuka', 'tematyka', 'Pracownicy domowi']",,,,,,,
