,150,450a,550a,009a,all_categories,kategorie_tematyczne,subject_category,item,ukLabel,deLabel,frLabel,enLabel,plLabel,itemId,lcsh,yso,550g,550h,009,455,555a,555g,555h,155
Mitologia australijska,Mitologia australijska,,,['9810676076405606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,"['Mitologia', 'Aborygeni Australii']",,,,,,,
Mitologia aztecka,Mitologia aztecka,,,['9810676076505606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q391184,Міфологія ацтеків,Mythologie der Azteken,mythologie aztèque,Aztec mythology,Wierzenia Azteków,Q391184,,,"['Mitologia Indian', 'Aztekowie', 'Kamień Słońca']",,,,,,,
Mitologia babilońska,Mitologia babilońska,,,['9810676076605606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q3859450,,babylonische Mythologie,,Babylonian mythology,Mitologia babilońska,Q3859450,,,"['Mitologia', 'Mezopotamia']",,,,,,,
Mitologia Bałtów,Mitologia Bałtów,"['Mythology, Baltic']",,['9810676076705606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,"['Mitologia', 'Europa', 'Bałtowie']","['Mitologia litewska', 'Mitologia Prusów']",,,,,,
Mitologia celtycka,Mitologia celtycka,,,['9810676076805606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q1106575,Кельтська міфологія,keltische Mythologie,mythologie celtique,Celtic mythology,Mitologia celtycka,Q1106575,sh85089387,,"['Mitologia Wysp Brytyjskich', 'Celtowie', 'Mitologia irlandzka', 'Religia celtycka']",['Mitologia galijska'],,,,,,
Mitologia chińska,Mitologia chińska,,,['9810676076905606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q210677,Китайська міфологія,Chinesische Mythologie,mythologie chinoise,Chinese mythology,Mitologia chińska,Q210677,sh85089388,,['Mitologia dalekowschodnia'],,,,,,,
Mitologia egipska,Mitologia egipska,"['Mythology, Egyptian']","['Cynocefal (postać mitologiczna)', 'Orientalistyka', 'Religia starożytnego Egiptu', 'Sfinks (zwierzę mitologiczne)']",['9810676077005606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,http://www.wikidata.org/entity/Q205740,Єгипетська міфологія,ägyptische Mythologie,mythologie égyptienne,Egyptian mythology,mitologia egipska,Q205740,sh85089393,,['Mitologia'],,,,,,,
Mitologia etruska,Mitologia etruska,,,['9810676077105606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,"['Etruskowie', 'kultura']",,,,,,,
Mitologia fińska,Mitologia fińska,,,['9810676077205606'],Literaturoznawstwo Religia i duchowość,"['Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,['Mitologia Ugrofinów'],,,,,,,
Mitologia Germanów,Mitologia Germanów,"['Mitologia germańska', 'Mythology, Germanic']","['Ásatrú', 'Germanie', 'Krasnoludy']",['9810676077305606'],Etnologia i antropologia kulturowa Literaturoznawstwo Religia i duchowość,"['Etnologia i antropologia kulturowa', 'Literaturoznawstwo', 'Religia i duchowo']",Literaturoznawstwo,,,,,,,,,,,['Mitologia skandynawska'],,,,,,
